Trace
Swept SA
A.08.55,N9000A
504810000,-89.3138260143246
504820000,-89.0460668783123
504830000,-89.4665812809277
504840000,-88.8242719245979
504850000,-88.5772159758887
504860000,-89.1420246204397
504870000,-89.3519075051398
504880000,-88.8829696594992
504890000,-88.9968973979842
504900000,-89.1788468448501
504910000,-89.4049060999633
504920000,-88.996033167484
504930000,-88.81336592798
504940000,-89.0070156710653
504950000,-89.0274515503385
504960000,-88.5993454270769
504970000,-89.0194744343619
504980000,-88.7641418926315
504990000,-89.0132584821717
505000000,-89.0712697014398
